F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.2318738,37.03165
3.6265774,3.5114481,3.5614574,50.00925
4.4324837,4.374919,4.3384004,-36.518574
4.9505663,4.8066545,4.8450246,38.370132
5.814037,5.6989074,5.6975293,-1.3780594
5.756472,5.6125603,5.6405134,27.953148
6.9653316,6.8214197,6.839252,17.83228
6.1018605,6.0155134,5.9828014,-32.711983
7.4834137,7.368284,7.3529854,-15.298843
8.001496,7.886367,7.866588,-19.778728
8.116626,8.001496,7.9807196,-20.776749
8.634708,8.490796,8.494399,3.6029816
9.555744,9.38305,9.408302,25.252342
9.095226,8.980097,8.951215,-28.882027
10.24652,10.102609,10.094435,-8.173943
10.304085,10.188955,10.151636,-37.319183
11.512944,11.397815,11.352977,-44.83795
11.4553795,11.311468,11.295786,-15.68222
12.952063,12.779368,12.780551,1.1825562
12.203721,12.002245,12.038857,36.61251
13.815534,13.614057,13.633781,19.724846
13.182322,12.9808445,13.00838,27.535439
14.621439,14.39118,14.427119,35.939217
15.081957,14.880481,14.8790865,-1.3942719
15.197086,14.99561,14.991926,-3.684044
15.312216,15.081957,15.104707,22.7499
16.521074,16.290815,16.285858,-4.957199
16.751333,16.492292,16.510338,18.045425
18.132887,17.902628,17.856152,-46.476364
17.614805,17.384546,17.351488,-33.058167
18.248016,17.988976,17.968346,-20.629883
18.88123,18.593405,18.58595,-7.4539185
19.802265,19.485659,19.486925,1.2664795
19.917395,19.600788,19.599846,-0.9422302
21.126253,20.809647,20.790432,-19.21463
21.011124,20.694517,20.67662,-17.896652
21.644335,21.298946,21.303768,4.8217773
21.93216,21.586771,21.589798,3.0269623
22.968325,22.594152,22.62449,30.338287
22.450241,22.07607,22.106186,30.115128
23.774231,23.400059,23.434332,34.273148
23.831795,23.486406,23.492336,5.929947
25.213348,24.896742,24.889755,-6.986618
24.925524,24.580135,24.597858,17.723083
25.501171,25.184566,25.181997,-2.5691986
25.328478,25.011871,25.006613,-5.25856
26.882725,26.594902,26.588528,-6.374359
26.537336,26.278296,26.236404,-41.891098
27.861326,27.602283,27.587353,-14.930725
27.573502,27.31446,27.293442,-21.018982
28.264278,27.976456,27.998968,22.512436
29.012619,28.78236,28.76364,-18.720627
29.760962,29.50192,29.528385,26.464462
30.048784,29.818525,29.82248,3.9539337
30.739561,30.59565,30.528124,-67.52586
30.279043,30.10635,30.057722,-48.627853
31.603033,31.401556,31.409657,8.10051
31.545467,31.315208,31.350916,35.707474
32.6392,32.495285,32.466484,-28.800964
32.869457,32.696762,32.701164,4.4021606
33.560234,33.41632,33.40479,-11.53183
33.848057,33.67536,33.697777,22.415161
34.48127,34.308575,34.34196,33.38623
34.538834,34.39492,34.400494,5.5732727
35.45987,35.315956,35.33641,20.454407
35.747692,35.60378,35.628643,24.864197
36.611164,36.496033,36.504635,8.602142
36.150646,36.006733,36.037563,30.830383
37.992718,37.90637,37.904064,-2.3040771
37.474632,37.388287,37.37958,-8.705139
38.395668,38.309322,38.311745,2.4223328
38.28054,38.222977,38.19529,-27.687073
40.00748,39.921135,39.940376,19.241333
39.144012,39.086445,39.06831,-18.13507
