F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.227487,32.64499
3.6265774,3.5114481,3.5525842,41.136024
4.4324837,4.374919,4.3368874,-38.031578
4.9505663,4.8066545,4.8458743,39.219856
5.814037,5.6989074,5.695308,-3.5991669
5.756472,5.6125603,5.638553,25.99287
6.9653316,6.8214197,6.8368073,15.387535
6.1018605,6.0155134,5.9795513,-35.962105
7.4834137,7.368284,7.3528595,-15.424728
8.001496,7.886367,7.8687825,-17.584324
8.116626,8.001496,7.9833565,-18.13984
8.634708,8.490796,8.498525,7.7285767
9.555744,9.38305,9.412824,29.773712
9.095226,8.980097,8.955902,-24.194717
10.24652,10.102609,10.097496,-5.112648
10.304085,10.188955,10.154519,-34.436226
11.512944,11.397815,11.351119,-46.69571
11.4553795,11.311468,11.294168,-17.299652
12.952063,12.779368,12.774283,-5.0849915
12.203721,12.002245,12.034376,32.131195
13.815534,13.614057,13.627273,13.216019
13.182322,12.9808445,13.001861,21.01612
14.621439,14.39118,14.421439,30.259132
15.081957,14.880481,14.873723,-6.757736
15.197086,14.99561,14.986589,-9.020805
15.312216,15.081957,15.09938,17.422676
16.521074,16.290815,16.283438,-7.3776245
16.751333,16.492292,16.510487,18.194199
18.132887,17.902628,17.881784,-20.843506
17.614805,17.384546,17.368296,-16.25061
18.248016,17.988976,17.995037,6.061554
18.88123,18.593405,18.610283,16.878128
19.802265,19.485659,19.487968,2.3097992
19.917395,19.600788,19.597403,-3.3855438
21.126253,20.809647,20.763514,-46.13304
21.011124,20.694517,20.650671,-43.84613
21.644335,21.298946,21.275984,-22.96257
21.93216,21.586771,21.563578,-23.19336
22.968325,22.594152,22.610222,16.069412
22.450241,22.07607,22.085148,9.077072
23.774231,23.400059,23.43088,30.820847
23.831795,23.486406,23.489603,3.1967163
25.213348,24.896742,24.9007,3.9577484
24.925524,24.580135,24.60658,26.445389
25.501171,25.184566,25.194824,10.257721
25.328478,25.011871,25.018349,6.477356
26.882725,26.594902,26.60628,11.377335
26.537336,26.278296,26.253502,-24.793625
27.861326,27.602283,27.605423,3.1394958
27.573502,27.31446,27.31162,-2.840042
28.264278,27.976456,28.016655,40.19928
29.012619,28.78236,28.780094,-2.2659302
29.760962,29.50192,29.543188,41.267395
30.048784,29.818525,29.836596,18.07022
30.739561,30.59565,30.540586,-55.063248
30.279043,30.10635,30.07129,-35.060883
31.603033,31.401556,31.420216,18.659592
31.545467,31.315208,31.361586,46.377182
32.6392,32.495285,32.47528,-20.004272
32.869457,32.696762,32.70967,12.908936
33.560234,33.41632,33.4127,-3.6201477
33.848057,33.67536,33.705566,30.204773
34.48127,34.308575,34.349754,41.179657
34.538834,34.39492,34.408306,13.385773
35.45987,35.315956,35.344997,29.04129
35.747692,35.60378,35.637646,33.866882
36.611164,36.496033,36.51541,19.378662
36.150646,36.006733,36.047306,40.57312
37.992718,37.90637,37.91929,12.92038
37.474632,37.388287,37.39291,4.623413
38.395668,38.309322,38.32863,19.306183
38.28054,38.222977,38.21168,-11.295319
40.00748,39.921135,39.965492,44.3573
39.144012,39.086445,39.088703,2.2583008
