F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.2296448,34.802673
3.6265774,3.5114481,3.5602536,48.805473
4.4324837,4.374919,4.3391504,-35.76851
4.9505663,4.8066545,4.8460627,39.408207
5.814037,5.6989074,5.6979647,-0.94270706
5.756472,5.6125603,5.6409874,28.427124
6.9653316,6.8214197,6.8403482,18.928528
6.1018605,6.0155134,5.9831166,-32.396793
7.4834137,7.368284,7.35531,-12.974262
8.001496,7.886367,7.8703604,-16.00647
8.116626,8.001496,7.9848065,-16.689777
8.634708,8.490796,8.499701,8.904457
9.555744,9.38305,9.4143505,31.300545
9.095226,8.980097,8.95716,-22.936821
10.24652,10.102609,10.099558,-3.0508041
10.304085,10.188955,10.156626,-32.32956
11.512944,11.397815,11.353816,-43.99872
11.4553795,11.311468,11.296862,-14.606476
12.952063,12.779368,12.775778,-3.5905838
12.203721,12.002245,12.03683,34.585
13.815534,13.614057,13.626938,12.881279
13.182322,12.9808445,13.002918,22.073746
14.621439,14.39118,14.419751,28.571129
15.081957,14.880481,14.87226,-8.220673
15.197086,14.99561,14.985378,-10.231972
15.312216,15.081957,15.098511,16.553879
16.521074,16.290815,16.289026,-1.789093
16.751333,16.492292,16.51658,24.288177
18.132887,17.902628,17.89456,-8.068085
17.614805,17.384546,17.376064,-8.481979
18.248016,17.988976,18.008976,20.000458
18.88123,18.593405,18.62132,27.915955
19.802265,19.485659,19.483627,-2.0313263
19.917395,19.600788,19.592527,-8.260727
21.126253,20.809647,20.762877,-46.770096
21.011124,20.694517,20.64952,-44.99626
21.644335,21.298946,21.276657,-22.289276
21.93216,21.586771,21.564259,-22.512436
22.968325,22.594152,22.6086,14.448166
22.450241,22.07607,22.08492,8.850098
23.774231,23.400059,23.427553,27.49443
23.831795,23.486406,23.486198,-0.207901
25.213348,24.896742,24.89654,-0.20217896
24.925524,24.580135,24.602491,22.356033
25.501171,25.184566,25.19058,6.0138702
25.328478,25.011871,25.01416,2.2888184
26.882725,26.594902,26.601067,6.164551
26.537336,26.278296,26.24863,-29.664993
27.861326,27.602283,27.598938,-3.3454895
27.573502,27.31446,27.305548,-8.91304
28.264278,27.976456,28.00956,33.103943
29.012619,28.78236,28.771797,-10.562897
29.760962,29.50192,29.53367,31.749725
30.048784,29.818525,29.826618,8.09288
30.739561,30.59565,30.529545,-66.10489
30.279043,30.10635,30.06095,-45.40062
31.603033,31.401556,31.407957,6.401062
31.545467,31.315208,31.349403,34.194946
32.6392,32.495285,32.461777,-33.5083
32.869457,32.696762,32.695923,-0.8392334
33.560234,33.41632,33.3983,-18.02063
33.848057,33.67536,33.690933,15.571594
34.48127,34.308575,34.33467,26.096344
34.538834,34.39492,34.39319,-1.7318726
35.45987,35.315956,35.329414,13.458252
35.747692,35.60378,35.621956,18.177032
36.611164,36.496033,36.49951,3.479004
36.150646,36.006733,36.031494,24.7612
37.992718,37.90637,37.903362,-3.0059814
37.474632,37.388287,37.37695,-11.33728
38.395668,38.309322,38.31276,3.4370422
38.28054,38.222977,38.195793,-27.183533
40.00748,39.921135,39.95011,28.97644
39.144012,39.086445,39.073013,-13.431549
