F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.228414,33.57196
3.6265774,3.5114481,3.5603688,48.92063
4.4324837,4.374919,4.34248,-32.438755
4.9505663,4.8066545,4.849901,43.246746
5.814037,5.6989074,5.700559,1.6517639
5.756472,5.6125603,5.643717,31.15654
6.9653316,6.8214197,6.8395734,18.153667
6.1018605,6.0155134,5.9849668,-30.546665
7.4834137,7.368284,7.3529387,-15.345573
8.001496,7.886367,7.866561,-19.805908
8.116626,8.001496,7.9807253,-20.771027
8.634708,8.490796,8.494556,3.7603378
9.555744,9.38305,9.408333,25.28286
9.095226,8.980097,8.951402,-28.695107
10.24652,10.102609,10.0938635,-8.7451935
10.304085,10.188955,10.150998,-37.95719
11.512944,11.397815,11.3509245,-46.89026
11.4553795,11.311468,11.293785,-17.68303
12.952063,12.779368,12.778802,-0.56648254
12.203721,12.002245,12.036507,34.261703
13.815534,13.614057,13.634131,20.074844
13.182322,12.9808445,13.007045,26.200294
14.621439,14.39118,14.430511,39.331436
15.081957,14.880481,14.884427,3.9463043
15.197086,14.99561,14.997752,2.1419525
15.312216,15.081957,15.111012,29.055595
16.521074,16.290815,16.296041,5.2261353
16.751333,16.492292,16.52088,28.587341
18.132887,17.902628,17.865177,-37.45079
17.614805,17.384546,17.361835,-22.7108
18.248016,17.988976,17.976961,-12.014389
18.88123,18.593405,18.5917,-1.7051697
19.802265,19.485659,19.48739,1.7318726
19.917395,19.600788,19.599628,-1.159668
21.126253,20.809647,20.784185,-25.461197
21.011124,20.694517,20.670813,-23.704529
21.644335,21.298946,21.296019,-2.9277802
21.93216,21.586771,21.58158,-5.191803
22.968325,22.594152,22.616684,22.53151
22.450241,22.07607,22.097775,21.70372
23.774231,23.400059,23.428705,28.64647
23.831795,23.486406,23.486904,0.497818
25.213348,24.896742,24.889723,-7.019043
24.925524,24.580135,24.596676,16.540527
25.501171,25.184566,25.183071,-1.4953613
25.328478,25.011871,25.00703,-4.840851
26.882725,26.594902,26.593815,-1.0871887
26.537336,26.278296,26.240858,-37.43744
27.861326,27.602283,27.594145,-8.138657
27.573502,27.31446,27.299923,-14.537811
28.264278,27.976456,28.00601,29.554367
29.012619,28.78236,28.770645,-11.714935
29.760962,29.50192,29.534803,32.88269
30.048784,29.818525,29.828558,10.032654
30.739561,30.59565,30.533205,-62.444687
30.279043,30.10635,30.063498,-42.8524
31.603033,31.401556,31.413273,11.716843
31.545467,31.315208,31.354626,39.417267
32.6392,32.495285,32.46829,-26.996613
32.869457,32.696762,32.702587,5.8250427
33.560234,33.41632,33.40517,-11.15036
33.848057,33.67536,33.697784,22.42279
34.48127,34.308575,34.34128,32.707214
34.538834,34.39492,34.39976,4.840851
35.45987,35.315956,35.335136,19.180298
35.747692,35.60378,35.62731,23.532867
36.611164,36.496033,36.50351,7.4768066
36.150646,36.006733,36.036266,29.533386
37.992718,37.90637,37.9045,-1.8692017
37.474632,37.388287,37.37925,-9.037018
38.395668,38.309322,38.312927,3.604889
38.28054,38.222977,38.196243,-26.733398
40.00748,39.921135,39.945934,24.799347
39.144012,39.086445,39.07125,-15.193939
