F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.2186456,23.803473
3.6265774,3.5114481,3.5596757,48.227547
4.4324837,4.374919,4.3314953,-43.423653
4.9505663,4.8066545,4.853742,47.08767
5.814037,5.6989074,5.702934,4.026413
5.756472,5.6125603,5.646649,34.08861
6.9653316,6.8214197,6.8356547,14.23502
6.1018605,6.0155134,5.984531,-30.982494
7.4834137,7.368284,7.350239,-18.045425
8.001496,7.886367,7.8661585,-20.208359
8.116626,8.001496,7.980928,-20.56837
8.634708,8.490796,8.497881,7.0848465
9.555744,9.38305,9.419964,36.91387
9.095226,8.980097,8.958308,-21.788597
10.24652,10.102609,10.1077795,5.170822
10.304085,10.188955,10.164188,-24.766922
11.512944,11.397815,11.346698,-51.116943
11.4553795,11.311468,11.289697,-21.771431
12.952063,12.779368,12.772434,-6.934166
12.203721,12.002245,12.030119,27.873993
13.815534,13.614057,13.63151,17.453194
13.182322,12.9808445,13.001653,20.80822
14.621439,14.39118,14.421481,30.301094
15.081957,14.880481,14.868746,-11.734962
15.197086,14.99561,14.9811,-14.510155
15.312216,15.081957,15.093728,11.771202
16.521074,16.290815,16.284657,-6.1588287
16.751333,16.492292,16.51239,20.097733
18.132887,17.902628,17.88475,-17.877579
17.614805,17.384546,17.36868,-15.867233
18.248016,17.988976,17.999731,10.755539
18.88123,18.593405,18.62736,33.95462
19.802265,19.485659,19.468185,-17.47322
19.917395,19.600788,19.576984,-23.80371
21.126253,20.809647,20.76857,-41.07666
21.011124,20.694517,20.653856,-40.66086
21.644335,21.298946,21.285961,-12.9852295
21.93216,21.586771,21.574268,-12.50267
22.968325,22.594152,22.614668,20.515442
22.450241,22.07607,22.09435,18.28003
23.774231,23.400059,23.42203,21.970749
23.831795,23.486406,23.479776,-6.629944
25.213348,24.896742,24.898703,1.9607544
24.925524,24.580135,24.59926,19.124985
25.501171,25.184566,25.197256,12.68959
25.328478,25.011871,25.01828,6.4086914
26.882725,26.594902,26.6125,17.597198
26.537336,26.278296,26.260706,-17.58957
27.861326,27.602283,27.606892,4.6081543
27.573502,27.31446,27.314583,0.12207031
28.264278,27.976456,28.0161,39.64424
29.012619,28.78236,28.776178,-6.181717
29.760962,29.50192,29.536364,34.4429
30.048784,29.818525,29.828741,10.215759
30.739561,30.59565,30.530476,-65.1741
30.279043,30.10635,30.062645,-43.704987
31.603033,31.401556,31.407969,6.412506
31.545467,31.315208,31.349447,34.238815
32.6392,32.495285,32.46199,-33.294678
32.869457,32.696762,32.696384,-0.37765503
33.560234,33.41632,33.39982,-16.50238
33.848057,33.67536,33.69298,17.620087
34.48127,34.308575,34.337914,29.338837
34.538834,34.39492,34.396538,1.6174316
35.45987,35.315956,35.334156,18.19992
35.747692,35.60378,35.626987,23.208618
36.611164,36.496033,36.50485,8.815765
36.150646,36.006733,36.036777,30.044556
37.992718,37.90637,37.907307,0.9384155
37.474632,37.388287,37.38169,-6.5956116
38.395668,38.309322,38.315865,6.542206
38.28054,38.222977,38.199154,-23.822784
40.00748,39.921135,39.948093,26.958466
39.144012,39.086445,39.07407,-12.374878
