F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.1660597,3.108495,3.1168747,8.379698
3.684142,3.597795,3.6134114,15.616417
4.9505663,4.8930016,4.8444915,-48.510075
4.317354,4.2022247,4.2260003,23.775578
5.2383895,5.0944777,5.12724,32.762527
5.4110837,5.295954,5.297294,1.3399124
6.9653316,6.8214197,6.8370347,15.614986
6.21699,6.1018605,6.09403,-7.83062
7.425849,7.3107195,7.295119,-15.600681
7.598543,7.4834137,7.466994,-16.419888
8.634708,8.490796,8.498443,7.6465607
8.807403,8.692273,8.670277,-21.996498
9.843568,9.699656,9.699935,0.27942657
9.440615,9.296702,9.299843,3.1404495
10.822167,10.678256,10.669296,-8.95977
10.304085,10.188955,10.156535,-32.42016
11.282685,11.109991,11.124253,14.262199
12.031027,11.8871155,11.862065,-25.050163
12.261286,12.088592,12.08879,0.19836426
12.952063,12.779368,12.768506,-10.86235
13.239886,13.095974,13.051664,-44.309616
13.815534,13.614057,13.618221,4.1646957
14.909263,14.679004,14.696874,17.86995
14.218486,13.988228,14.015205,26.97754
15.830298,15.6000395,15.608037,7.997513
15.6000395,15.398563,15.380053,-18.510818
17.039158,16.780117,16.8045,24.383545
16.233252,16.002993,16.007132,4.1389465
17.960194,17.701153,17.710485,9.332657
17.32698,17.096722,17.088469,-8.253098
18.305582,18.075323,18.047773,-27.549744
18.88123,18.593405,18.606472,13.0672455
20.032524,19.687136,19.714813,27.677536
19.62957,19.312963,19.327541,14.577866
20.550606,20.205217,20.21379,8.573532
20.665735,20.291565,20.325047,33.481598
22.162418,21.788248,21.793222,4.974365
22.219982,21.874594,21.850607,-23.986816
22.450241,22.07607,22.080791,4.720688
22.738066,22.363894,22.369875,5.9814453
23.659101,23.28493,23.302855,17.925262
23.486406,23.1698,23.127193,-42.606354
24.522572,24.177183,24.184113,6.9293976
24.695265,24.407442,24.360727,-46.714783
25.673866,25.386042,25.362171,-23.870468
25.788996,25.501171,25.479982,-21.188736
26.537336,26.278296,26.245407,-32.888412
26.422207,26.191948,26.127697,-64.250946
27.400808,27.084202,27.127588,43.38646
27.91889,27.688631,27.656351,-32.27997
28.955055,28.696014,28.712801,16.786575
28.264278,27.976456,28.00865,32.194138
29.300444,29.098967,29.064682,-34.28459
29.530703,29.300444,29.29921,-1.2340546
30.163914,29.99122,29.94394,-47.281265
30.394173,30.192698,30.178318,-14.379501
31.775726,31.57425,31.58406,9.811401
32.06355,31.890856,31.87684,-14.015198
32.984585,32.81189,32.81363,1.739502
32.6392,32.495285,32.462353,-32.93228
33.15728,32.984585,32.989265,4.6806335
33.329975,33.18606,33.164898,-21.16394
34.25101,34.107098,34.101574,-5.5236816
34.769093,34.596397,34.628445,32.04727
35.632565,35.517433,35.50657,-10.864258
35.11448,34.99935,34.97969,-19.66095
36.20821,36.093082,36.092,-1.083374
36.496033,36.409687,36.384716,-24.971008
37.41707,37.30194,37.321445,19.504547
37.244373,37.129246,37.145805,16.5596
38.683495,38.597145,38.60951,12.363434
38.971317,38.913754,38.902256,-11.497498
39.662094,39.60453,39.604866,0.33569336
39.086445,39.0001,39.019356,19.256592
