F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.2197943,24.952173
3.6265774,3.5114481,3.55331,41.86177
4.4324837,4.374919,4.3282833,-46.635628
4.9505663,4.8066545,4.862402,55.74751
5.814037,5.6989074,5.704124,5.2165985
5.756472,5.6125603,5.6529827,40.42244
6.9653316,6.8214197,6.828636,7.2164536
6.1018605,6.0155134,5.9767866,-38.726807
7.4834137,7.368284,7.3634634,-4.8208237
8.001496,7.886367,7.8536906,-32.67622
8.116626,8.001496,7.9695115,-31.984806
8.634708,8.490796,8.501577,10.781288
9.555744,9.38305,9.424501,41.451454
9.095226,8.980097,8.949118,-30.979156
10.24652,10.102609,10.101706,-0.9031296
10.304085,10.188955,10.156614,-32.341003
11.512944,11.397815,11.355102,-42.713165
11.4553795,11.311468,11.298683,-12.784958
12.952063,12.779368,12.772355,-7.013321
12.203721,12.002245,12.027111,24.866104
13.815534,13.614057,13.639244,25.187492
13.182322,12.9808445,13.00965,28.805733
14.621439,14.39118,14.41814,26.960373
15.081957,14.880481,14.864444,-16.036987
15.197086,14.99561,14.977765,-17.845154
15.312216,15.081957,15.091723,9.766579
16.521074,16.290815,16.291866,1.0509491
16.751333,16.492292,16.51754,25.247574
18.132887,17.902628,17.893057,-9.571075
17.614805,17.384546,17.37313,-11.415482
18.248016,17.988976,18.007698,18.722534
18.88123,18.593405,18.63529,41.885376
19.802265,19.485659,19.470701,-14.957428
19.917395,19.600788,19.579468,-21.320343
21.126253,20.809647,20.766714,-42.93251
21.011124,20.694517,20.649313,-45.204163
21.644335,21.298946,21.290493,-8.453369
21.93216,21.586771,21.551191,-35.57968
22.968325,22.594152,22.613306,19.153595
22.450241,22.07607,22.098072,22.001266
23.774231,23.400059,23.411905,11.846542
23.831795,23.486406,23.469992,-16.414642
25.213348,24.896742,24.891142,-5.5999756
24.925524,24.580135,24.593061,12.926102
25.501171,25.184566,25.185804,1.2378693
25.328478,25.011871,25.009357,-2.5138855
26.882725,26.594902,26.624414,29.512405
26.537336,26.278296,26.274765,-3.5305023
27.861326,27.602283,27.584408,-17.875671
27.573502,27.31446,27.298004,-16.456604
28.264278,27.976456,27.994465,18.009186
29.012619,28.78236,28.771084,-11.276245
29.760962,29.50192,29.541338,39.417267
30.048784,29.818525,29.832325,13.799667
30.739561,30.59565,30.523176,-72.473526
30.279043,30.10635,30.063316,-43.0336
31.603033,31.401556,31.39345,-8.106232
31.545467,31.315208,31.334768,19.55986
32.6392,32.495285,32.46176,-33.52356
32.869457,32.696762,32.698803,2.040863
33.560234,33.41632,33.39825,-18.07022
33.848057,33.67536,33.685143,9.780884
34.48127,34.308575,34.320072,11.497498
34.538834,34.39492,34.378586,-16.334534
35.45987,35.315956,35.328224,12.268066
35.747692,35.60378,35.624306,20.526886
36.611164,36.496033,36.50061,4.5776367
36.150646,36.006733,36.035053,28.320312
37.992718,37.90637,37.90076,-5.607605
37.474632,37.388287,37.373486,-14.801025
38.395668,38.309322,38.312412,3.0899048
38.28054,38.222977,38.194714,-28.263092
40.00748,39.921135,39.946507,25.371552
39.144012,39.086445,39.07697,-9.475708
