Fexperiment_MHz,Fstandard_MHz
1813.28874,1842.071101
1928.418183,2043.547627
2101.112349,2216.241793
2964.583178,3022.147899
3137.277343,3223.624426
3425.100953,3482.665675
3712.924562,3741.706923
4000.748172,4029.530533
4173.442337,4231.007059
4691.524834,4749.089556
4921.783722,5036.913166
5439.866219,5497.430941
5957.948716,5986.731077
6188.207604,6274.554686
6418.466491,6504.813574
6648.725379,6763.854823
7109.243154,7224.372598
7454.631485,7512.196207
7627.325651,7742.455095
7915.14926,8001.496343
8433.231757,8490.796479
8663.490645,8749.837728
8951.314254,8980.096615
9124.00842,9239.137864
9642.090917,9728.438
9987.479249,9987.479249
10160.17341,10246.5205
10966.07952,10994.86188
11138.77369,11225.12077
11426.5973,11484.16202
11714.42091,11743.20327
12002.24451,12002.24451
12174.93868,12232.5034
12693.02118,12721.80354
12980.84479,13009.62715
13153.53895,13239.88604
13614.05673,13729.18617
14132.13922,14247.26867
14419.96283,14477.52756
14707.78644,14736.5688
14880.48061,14995.61005
15110.7395,15225.86894
15916.6456,15974.21033
16146.90449,16233.25157
16377.16338,16492.29282
16607.42227,16722.55171
17125.50476,17240.63421
17413.32837,17499.67546
17643.58726,17729.93434
17931.41087,17988.97559
18104.10504,18219.23448
18622.18753,18737.31698
18910.01114,18996.35822
19197.83475,19255.39947
19658.35253,19744.69961
20003.74086,20003.74086
20118.8703,20233.99975
20636.9528,20723.29988
20982.34113,20982.34113
21385.29418,21500.42363
21817.0296,21989.72376
22191.20029,22248.76501
22363.89446,22479.0239
22594.15334,22738.06515
22881.97695,22997.1064
22997.1064,23141.0182
23400.05945,23515.18889
23687.88306,23745.44778
23918.14195,24004.48903
24321.095,24493.78917
24666.48333,24724.04805
25127.00111,25242.13055
25414.82472,25501.1718
25932.90721,25990.47194
26163.1661,26249.51318
26681.2486,26738.81332
26911.50749,26997.85457
27429.58998,27487.1547
27717.41359,27746.19595
28235.49609,28235.49609
28465.75498,28494.53734
28696.01386,28753.57859
28926.27275,28983.83747
29444.35525,29501.91997
30020.00247,30020.00247
30192.69663,30250.26136
30480.52024,30480.52024
30768.34385,30739.56149
30998.60274,30998.60274
31516.68524,31516.68524
31977.20301,31977.20301
32265.02662,32236.24426
32495.28551,32524.06787
32725.5444,32754.32676
33301.19162,33243.62689
33473.88578,33502.66814
34049.533,34020.75064
34337.35661,34251.00953
34510.05078,34510.05078
34970.56855,34999.35091
35258.39216,35258.39216
35546.21577,35517.43341
35776.47466,35747.6923
36006.73354,35977.95118
36294.55715,36265.77479
36755.07493,36783.85729
36927.76909,37014.11618
37503.41631,37503.41631
37791.23992,37762.45756
38309.32242,38280.54006
38482.01659,38510.79895
38769.8402,38741.05783
39000.09908,39000.09908
39230.35797,39230.35797
39748.44047,39748.44047
40036.26408,40036.26408
