Fexperiment_GHz,Fstandard_GHz
1.928418183,2.043547627
2.101112349,2.216241793
2.44650068,2.504065402
2.676759568,2.763106651
3.137277343,3.223624426
3.425100953,3.482665675
3.712924562,3.741706923
4.173442337,4.231007059
4.403701225,4.461265947
4.691524834,4.749089556
4.921783722,5.036913166
5.209607331,5.238389692
5.612560385,5.756472189
5.957948716,5.986731077
6.188207604,6.274554686
6.936548988,6.99411371
7.109243154,7.224372598
7.454631485,7.512196207
7.627325651,7.742455095
8.145408148,8.260537592
8.433231757,8.490796479
8.663490645,8.749837728
9.12400842,9.239137864
9.41183203,9.498179112
9.642090917,9.728438
9.987479249,9.987479249
10.3904323,10.50556175
10.67825591,10.76460299
10.96607952,10.99486188
11.4265973,11.48416202
11.71442091,11.74320327
12.00224451,12.00224451
12.17493868,12.2325034
12.69302118,12.72180354
13.15353895,13.23988604
13.38379784,13.49892728
13.61405673,13.72918617
13.95944506,13.98822742
14.41996283,14.47752756
14.70778644,14.7365688
14.88048061,14.99561005
15.39856311,15.48491019
15.9166456,15.97421033
16.14690449,16.23325157
16.37716338,16.49229282
16.9528106,16.98159296
17.12550476,17.24063421
17.41332837,17.49967546
17.64358726,17.72993434
18.10410504,18.21923448
18.44949337,18.50705809
18.62218753,18.73731698
18.91001114,18.99635822
19.19783475,19.25539947
19.65835253,19.74469961
20.1188703,20.23399975
20.40669391,20.49304099
20.6369528,20.72329988
20.98234113,20.98234113
21.38529418,21.50042363
21.8170296,21.98972376
22.19120029,22.24876501
22.36389446,22.4790239
22.59415334,22.73806515
22.88197695,22.9971064
22.9971064,23.1410182
23.40005945,23.51518889
23.91814195,24.00448903
24.14840083,24.23474792
24.321095,24.49378917
24.66648333,24.72404805
25.12700111,25.24213055
25.41482472,25.5011718
25.93290721,25.99047194
26.45098971,26.50855443
26.6812486,26.73881332
26.91150749,26.99785457
27.14176637,27.22811346
27.71741359,27.74619595
28.0052372,28.0052372
28.23549609,28.23549609
28.69601386,28.75357859
28.92627275,28.98383747
29.44435525,29.50191997
30.02000247,30.02000247
30.19269663,30.25026136
30.48052024,30.48052024
30.99860274,30.99860274
31.28642635,31.25764399
31.51668524,31.51668524
31.74694412,31.74694412
32.26502662,32.23624426
32.49528551,32.52406787
32.7255444,32.75432676
32.95580328,32.98458565
33.30119162,33.24362689
33.76170939,33.76170939
34.33735661,34.25100953
34.51005078,34.51005078
34.79787438,34.76909202
34.97056855,34.99935091
35.25839216,35.25839216
36.00673354,35.97795118
36.29455715,36.26577479
36.52481604,36.52481604
36.75507493,36.78385729
36.92776909,37.01411618
37.27315743,37.27315743
37.79123992,37.76245756
38.30932242,38.28054006
38.48201659,38.51079895
39.00009908,39.00009908
39.23035797,39.23035797
39.51818158,39.51818158
39.74844047,39.74844047
40.03626408,40.03626408
