Fexperiment_GHz,Fstandard_GHz
9.987479249,9.987479249
10.67825591,10.76460299
10.96607952,10.99486188
11.13877369,11.22512077
11.4265973,11.48416202
12.00224451,12.00224451
12.17493868,12.2325034
12.52032701,12.52032701
12.98084479,13.00962715
13.15353895,13.23988604
13.38379784,13.49892728
13.95944506,13.98822742
14.13213922,14.24726867
14.41996283,14.47752756
14.88048061,14.99561005
15.1107395,15.22586894
15.39856311,15.48491019
15.9166456,15.97421033
16.14690449,16.23325157
16.37716338,16.49229282
16.9528106,16.98159296
17.12550476,17.24063421
17.41332837,17.49967546
17.93141087,17.98897559
19.19783475,19.25539947
19.37052892,19.48565836
20.00374086,20.00374086
20.1188703,20.23399975
20.40669391,20.49304099
21.1550353,21.24138238
21.38529418,21.50042363
21.67311779,21.75946488
22.19120029,22.24876501
22.36389446,22.4790239
22.88197695,22.9971064
23.11223584,23.22736528
23.40005945,23.51518889
23.91814195,24.00448903
24.14840083,24.23474792
24.321095,24.49378917
24.89674222,24.9830893
25.12700111,25.24213055
25.41482472,25.5011718
25.93290721,25.99047194
26.1631661,26.24951318
26.45098971,26.50855443
26.6812486,26.73881332
26.91150749,26.99785457
27.14176637,27.22811346
27.42958998,27.4871547
28.0052372,28.0052372
28.23549609,28.23549609
28.46575498,28.49453734
28.92627275,28.98383747
29.15653164,29.24287872
29.44435525,29.50191997
30.02000247,30.02000247
30.19269663,30.25026136
30.48052024,30.48052024
30.99860274,30.99860274
31.28642635,31.25764399
31.51668524,31.51668524
31.97720301,31.97720301
32.26502662,32.23624426
32.49528551,32.52406787
32.95580328,32.98458565
33.30119162,33.24362689
33.47388578,33.50266814
34.049533,34.02075064
34.33735661,34.25100953
34.51005078,34.51005078
34.79787438,34.76909202
34.97056855,34.99935091
35.25839216,35.25839216
35.54621577,35.51743341
35.77647466,35.7476923
36.00673354,35.97795118
36.29455715,36.26577479
36.52481604,36.52481604
36.75507493,36.78385729
36.92776909,37.01411618
37.27315743,37.27315743
37.50341631,37.50341631
37.79123992,37.76245756
37.96393409,37.99271645
38.30932242,38.28054006
38.48201659,38.51079895
38.7698402,38.74105783
39.00009908,39.00009908
39.23035797,39.23035797
39.51818158,39.51818158
39.74844047,39.74844047
40.03626408,40.03626408
