Fexperiment_GHz,Fstandard_GHz
218.21,218.95
218.81,219.56
219.42,220.17
220.02,220.77
220.63,221.38
221.23,221.99
221.83,222.6
222.44,223.2
223.04,223.81
223.65,224.42
224.25,225.03
224.86,225.63
225.46,226.24
226.06,226.85
226.67,227.46
227.27,228.06
227.88,228.67
228.48,229.28
229.09,229.89
229.69,230.49
230.29,231.1
230.9,231.71
231.5,232.32
232.11,232.92
232.71,233.53
233.32,234.14
233.92,234.75
234.52,235.35
235.13,235.96
235.73,236.57
236.34,237.18
236.94,237.78
237.54,238.39
238.15,239
238.75,239.61
239.36,240.21
239.96,240.82
240.57,241.43
241.17,242.03
241.77,242.64
242.38,243.25
242.98,243.86
243.59,244.46
244.19,245.07
244.79,245.68
245.4,246.29
246,246.89
246.61,247.5
247.21,248.11
247.82,248.72
248.42,249.32
249.02,249.93
249.63,250.54
250.23,251.14
250.84,251.75
251.44,252.36
252.04,252.97
252.65,253.57
253.25,254.18
253.86,254.79
254.46,255.4
255.06,256
255.67,256.61
256.27,257.22
256.88,257.82
257.48,258.43
258.08,259.04
258.69,259.65
259.29,260.25
259.9,260.86
260.5,261.47
261.11,262.08
261.71,262.68
262.31,263.29
262.92,263.9
263.52,264.5
264.13,265.11
264.73,265.72
265.33,266.33
265.94,266.93
266.54,267.54
267.15,268.15
267.75,268.75
268.35,269.36
268.96,269.97
269.56,270.58
270.17,271.18
270.77,271.79
271.37,272.4
271.98,273
272.58,273.61
273.18,274.22
273.79,274.83
274.39,275.43
275,276.04
275.6,276.65
276.2,277.25
276.81,277.86
277.41,278.47
278.02,279.08
278.62,279.68
279.22,280.29
279.83,280.9
280.43,281.5
281.04,282.11
281.64,282.72
282.24,283.33
282.85,283.93
283.45,284.54
284.06,285.15
284.66,285.75
285.26,286.36
285.87,286.97
286.47,287.58
287.07,288.18
287.68,288.79
288.28,289.4
288.89,290
289.49,290.61
290.09,291.22
290.7,291.82
291.3,292.43
291.91,293.04
292.51,293.65
