Fexperiment_GHz,Fstandard_GHz
100.141108771078,100.0
101.0136687661,101.0
103.049642087816,103.0
104.038543415507,104.0
105.900004738219,106.0
107.063418064915,107.0
107.93597805993599,108.0
108.983050053962,109.0
110.146463380657,110.0
111.13536470834799,111.0
112.066095369704,112.0
112.99682603106,113.0
115.032799352776,115.0
116.02170068046699,116.0
117.06877267449299,117.0
119.046575329875,119.0
119.860964658561,120.0
121.024377985256,121.0
122.071449979282,122.0
122.944009974303,123.0
124.049252634664,124.0
124.97998329602,125.0
128.004857945427,128.0
128.993759273118,129.0
130.97156192850002,131.0
132.07680458886,132.0
132.94936458388102,133.0
134.05460724424202,134.0
134.927167239263,135.0
136.032409899624,136.0
136.96314056098,137.0
138.940943216361,139.0
139.929844544052,140.0
141.035087204413,141.0
142.082159198438,142.0
142.95471919346002,143.0
144.93252184884102,145.0
145.863252510198,146.0
147.02666583689302,147.0
148.015567164584,148.0
151.098612480326,151.0
152.087513808017,152.0
153.018244469373,153.0
153.94897513072902,154.0
155.98494845244502,156.0
156.91567911380102,157.0
158.07909244049702,158.0
159.06799376818702,159.0
161.10396708990402,161.0
162.03469775126,162.0
162.907257746281,163.0
165.059572400667,165.0
165.81579106301902,166.0
167.153716388719,167.0
167.96810571740502,168.0
168.95700704509602,169.0
170.00407903912202,170.0
172.970783022194,173.0
173.843343017216,174.0
174.948585677576,175.0
176.053828337936,176.0
176.984558999293,177.0
177.91528966064902,178.0
178.962361654674,179.0
179.89309231603002,180.0
180.94016431005602,181.0
181.98723630408202,182.0
185.012110953489,185.0
186.00101228118,186.0
186.989913608871,187.0
187.862473603892,188.0
188.909545597918,189.0
190.82917758696502,191.0
191.93442024732502,192.0
192.98149224135102,193.0
194.02856423537602,194.0
194.959294896733,195.0
196.00636689075802,196.0
196.995268218449,197.0
199.031241540166,199.0
200.89270286287802,201.0
201.88160419056902,202.0
202.92867618459402,203.0
203.97574817862002,204.0
204.84830817364102,205.0
206.94245216169202,207.0
207.873182823049,208.0
208.920254817074,209.0
209.792814812096,210.0
210.898057472456,211.0
211.88695880014697,212.0
212.81768946150302,213.0
214.85366278321902,215.0
215.95890544358002,216.0
217.00597743760497,217.0
217.99487876529602,218.0
222.008654742395,222.0
222.93938540375098,223.0
223.986457397776,224.0
224.97535872546698,225.0
225.90608938682297,226.0
226.95316138084902,227.0
228.00023337487502,228.0
228.87279336989602,229.0
229.861694697587,230.0
230.90876669161202,231.0
231.955838685638,232.0
234.10815334002402,234.0
235.911443996402,236.0
236.900345324092,237.0
237.88924665178297,238.0
238.87814797947402,239.0
239.92521997350002,240.0
240.91412130119102,241.0
241.96119329521602,242.0
243.00826528924202,243.0
244.986067944624,245.0
246.09131060498402,246.0
246.963870600005,247.0
248.069113260366,248.0
251.035817243438,251.0
251.966547904794,252.0
253.07179056515497,253.0
253.94435056017602,254.0
254.99142255420202,255.0
257.027395875918,257.0
258.074467869944,258.0
259.063369197635,259.0
259.87775852632103,260.0
261.04117185301703,261.0
261.913731848038,262.0
263.07714517473295,263.0
263.89153450342,264.0
267.090921151831,267.0
267.90531048051804,268.0
269.068723807213,269.0
269.999454468569,270.0
270.98835579626,271.0
271.97725712395095,272.0
273.08249978431104,273.0
274.01323044566703,274.0
275.06030243969303,275.0
275.991033101049,276.0
279.074078416791,279.0
280.062979744482,280.0
281.051881072173,281.0
282.157123732533,282.0
284.01858505524604,284.0
285.181998381941,285.0
286.985289038318,287.0
288.09053169867894,288.0
289.13760369270403,289.0
290.12650502039503,290.0
292.104307675777,292.0
293.035038337133,293.0
294.082110331158,294.0
295.012840992515,295.0
297.10698498056604,297.0
297.97954497558703,298.0
299.02661696961303,299.0
300.015518297304,300.0
301.120760957664,301.0
301.993320952686,302.0
303.040392946711,303.0
306.123438262453,306.0
307.054168923809,307.0
308.101240917835,308.0
308.973800912856,309.0
310.020872906882,310.0
311.067944900908,311.0
311.765992896925,312.0
313.04574755628903,313.0
314.092819550315,314.0
315.139891544341,315.0
317.059523533388,317.0
318.106595527413,318.0
321.07329951048604,321.0
322.934760833198,323.0
324.156344826228,324.0
325.087075487584,325.0
326.13414748161,326.0
327.064878142966,327.0
328.053779470657,328.0
329.100851464682,329.0
330.031582126038,330.0
330.96231278739504,331.0
332.183896780424,332.0
334.219870102141,334.0
335.09243009716204,335.0
337.12840341887903,337.0
338.11730474657,338.0
339.048035407926,339.0
340.153278068286,340.0
341.025838063307,341.0
342.189251390003,342.0
344.167054045384,344.0
344.98144337407103,345.0
347.075587362122,347.0
348.122659356148,348.0
349.11156068383895,349.0
351.089363339221,351.0
351.903752667907,352.0
353.183507327272,353.0
353.997896655958,354.0
355.103139316319,355.0
356.150211310344,356.0
357.0809419717,357.0
359.11691529341704,359.0
360.10581662110803,360.0
361.036547282464,361.0
362.141789942824,362.0
363.014349937846,363.0
364.061421931871,364.0
366.155565919923,366.0
367.028125914944,367.0
369.06409923666,369.0
370.05300056435107,370.0
372.205315218737,372.0
373.07787521375894,373.0
374.18311787411903,374.0
374.997507202806,375.0
377.033480524522,377.0
377.964211185878,378.0
379.06945384623907,379.0
379.94201384126,380.0
380.989085835286,381.0
382.03615782931104,382.0
385.11920314505295,385.0
385.93359247374,386.0
387.0388351341,387.0
387.969565795456,388.0
388.958467123147,389.0
389.889197784504,390.0
391.052611111199,391.0
392.04151243889004,392.0
392.97224310024603,393.0
393.961144427937,394.0
395.880776416983,396.0
397.974920405035,398.0
399.02199239906,399.0
399.83638172774704,400.0
400.999795054442,401.0
401.87235504946307,402.0
402.91942704348895,403.0
404.955400365206,405.0
405.94430169289603,406.0
408.03844568094803,408.0
408.969176342304,409.0
409.89990700366,410.0
410.946978997686,411.0
411.935880325376,412.0
414.96075497478404,415.0
415.833314969805,416.0
416.9967282965,417.0
417.927458957856,418.0
419.03270161821695,419.0
420.021602945908,420.0
421.068674939933,421.0
421.99940560128897,422.0
423.9772082566711,424.0
424.90793891802707,425.0
426.827570907074,427.0
427.93281356743495,428.0
428.97988556146004,429.0
431.07402954951107,431.0
431.888418878198,432.0
432.87732020588896,433.0
433.80805086724496,434.0
436.018536187966,436.0
436.891096182987,437.0
437.938168177013,438.0
438.92706950470404,439.0
439.91597083239503,440.0
440.846701493751,441.0
441.893773487776,442.0
442.940845481802,443.0
444.744136138179,445.0
445.907549464875,446.0
447.012792125235,447.0
447.885352120256,448.0
449.979496108307,450.0
450.910226769664,451.0
453.87693075273603,454.0
454.865832080427,455.0
455.854733408118,456.0
456.901805402144,457.0
457.8907067298351,458.0
458.879608057525,459.0
459.926680051551,460.0
461.904482706933,462.0
462.89338403462403,463.0
463.998626694984,464.0
465.04569868901,465.0
465.91825868403095,466.0
466.848989345387,467.0
467.896061339413,468.0
470.10654666013403,470.0
471.851666650176,472.0
472.898738644202,473.0
475.051053298588,475.0
475.98178395994404,476.0
476.97068528763504,477.0
477.90141594899103,478.0
478.94848794301697,479.0
479.93738927070694,480.0
480.926290598398,481.0
481.79885059342,482.0
483.892994581471,484.0
484.9982372418311,485.0
485.9289679031871,486.0
486.97603989721296,487.0
488.95384255259495,489.0
490.931645207977,491.0
491.97871720200203,492.0
494.014690523719,494.0
495.003591851409,495.0
495.817981180096,496.0
496.981394506791,497.0
497.912125168147,498.0
498.959197162173,499.0
499.889927823529,500.0
500.93699981755503,501.0
502.914802472936,503.0
504.02004513329695,504.0
504.950775794653,505.0
506.056018455013,506.0
507.044919782704,507.0
508.9645517717511,509.0
510.94235442713295,511.0
511.931255754824,512.0
512.9783277488489,513.0
513.96722907654,514.0
516.061373064591,516.0
516.933933059613,517.0
517.981005053638,518.0
518.911735714995,519.0
519.9006370426849,520.0
520.8895383703759,521.0
522.9255116920929,523.0
524.030754352453,524.0
524.961485013809,525.0
526.881117002856,527.0
528.044530329551,528.0
528.9170903245729,529.0
530.0223329849329,530.0
531.011234312624,531.0
532.000135640315,532.0
532.756354302667,533.0
533.977938295697,534.0
535.025010289722,535.0
535.897570284744,536.0
537.9335436064599,538.0
539.9113462618419,540.0
541.9473195835579,542.0
543.8669515726049,544.0
544.9140235666309,545.0
545.9029248943219,546.0
547.0081675546819,547.0
547.938898216038,548.0
548.985970210064,549.0
550.963772865446,551.0
551.836332860467,552.0
552.825234188158,553.0
553.8723061821839,554.0
554.919378176209,555.0
555.9082795039,556.0
557.0135221642599,557.0
558.0024234919509,558.0
560.9691274750239,561.0
562.9469301304059,563.0
563.994002124431,564.0
564.9247327857871,565.0
565.9718047798129,566.0
566.9025354411689,567.0
567.89143676886,568.0
569.0548500955549,569.0
569.985580756911,570.0
570.8581407519329,571.0
571.905212745958,572.0
573.0104554063191,573.0
573.9993567340089,574.0
575.9189887230569,576.0
576.966060717082,577.0
578.943863372464,579.0
579.8745940338199,580.0
580.921666027846,581.0
581.852396689202,582.0
582.841298016893,583.0
583.9465406772529,584.0
584.8772713386089,585.0
587.8439753216819,588.0
588.8910473157069,589.0
589.8799486433979,590.0
590.927020637424,591.0
591.8577512987799,592.0
593.893724620496,594.0
594.998967280857,595.0
595.8133566095439,596.0
596.7440872709,597.0
597.9656712639289,598.0
600.9323752470019,601.0
601.863105908358,602.0
603.84090856374,604.0
604.829809891431,605.0
605.7605405527871,606.0
606.865783213147,607.0
607.9128552071729,608.0
608.8435858685289,609.0
609.8906578625549,610.0
610.93772985658,611.0
612.7410205129579,613.0
613.846263173318,614.0
614.8933351673439,615.0
615.8822364950349,616.0
617.918209816751,618.0
618.8489404781071,619.0
619.779671139463,620.0
620.768572467154,621.0
621.873815127515,622.0
622.804545788871,623.0
623.793447116562,624.0
625.7130791056089,626.0
627.749052427325,628.0
628.7961244213511,629.0
629.668684416372,630.0
631.8791697370929,632.0
632.751729732114,633.0
633.6824603934699,634.0
634.729532387496,635.0
635.6602630488519,636.0
636.707335042878,637.0
638.8014790309289,639.0
639.615868359615,640.0
640.7792816863109,641.0
641.8845243466709,642.0
642.7570843416929,643.0
645.840129657434,646.0
646.712689652456,647.0
647.6434203138119,648.0
648.690492307838,649.0
649.795734968198,650.0
650.668294963219,651.0
651.77353762358,652.0
652.762438951271,653.0
654.7402416066519,655.0
655.8454842670129,656.0
656.659873595699,657.0
657.5906042570549,658.0
659.5684069124369,660.0
660.615478906463,661.0
661.778892233158,662.0
663.5240122232,664.0
664.6874255498959,665.0
665.734497543922,666.0
666.607057538943,667.0
667.654129532968,668.0
669.5737615220149,670.0
670.504492183371,671.0
671.609734843732,672.0
672.598636171423,673.0
673.5293668327789,674.0
674.5764388268049,675.0
676.612412148521,677.0
677.659484142547,678.0
679.579116131594,680.0
681.673260119645,682.0
682.6039907810009,683.0
683.7092334413609,684.0
684.523622770048,685.0
685.570694764074,686.0
686.559596091764,687.0
688.537398747146,689.0
689.5844707411719,690.0
690.515201402528,691.0
691.504102730219,692.0
692.667516056914,693.0
693.423734719266,694.0
694.5871480459609,695.0
695.5178787073169,696.0
696.5649507013429,697.0
699.4153133517459,700.0
700.4623853457709,701.0
702.5565293338229,703.0
704.47616132287,705.0
705.4068919842259,706.0
706.453963978251,707.0
