Fexperiment_GHz,Fstandard_GHz
3.453883314,3.396318592
4.777871917,4.691524834
5.295954414,5.18082497
6.216989965,6.101860521
7.713672734,7.569760929
8.231755231,8.087843426
9.901132166,9.786002722
10.30408522,10.18895578
11.45537966,11.31146785
12.54910937,12.40519757
13.81553325,13.61405673
14.50630992,14.30483339
15.71516908,15.48491019
16.40594574,16.17568685
17.78749907,17.58602254
18.88122878,18.59340517
19.456876,19.11148767
21.24138238,20.86721169
21.64433543,21.2989471
23.02588876,22.68050043
23.48640653,23.16980056
24.40744208,24.09083611
25.61630124,25.29969527
26.53733679,26.27829554
27.80376067,27.51593707
29.12774928,28.89749039
30.10634955,29.90487302
30.73956149,30.59564969
31.31520871,31.08494982
32.29380898,32.09233246
33.56023286,33.41632106
34.94178619,34.79787438
35.45986869,35.31595688
36.32333951,36.20821007
37.24437507,37.12924562
38.79862256,38.71227547
39.14401089,39.08644617
