F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2811892,3.194842,3.2212613,26.419163
3.6265774,3.5114481,3.5607822,49.33405
4.4324837,4.374919,4.3467636,-28.155327
4.9505663,4.8066545,4.85174,45.08543
5.814037,5.6989074,5.697115,-1.7924309
5.756472,5.6125603,5.640583,28.022766
6.9653316,6.8214197,6.8325987,11.17897
6.1018605,6.0155134,5.980141,-35.372257
7.4834137,7.368284,7.3460903,-22.193909
8.001496,7.886367,7.860718,-25.64907
8.116626,8.001496,7.9752007,-26.295662
8.634708,8.490796,8.490802,0.005722046
9.555744,9.38305,9.408455,25.40493
9.095226,8.980097,8.949528,-30.569077
10.24652,10.102609,10.096846,-5.763054
10.304085,10.188955,10.154198,-34.757614
11.512944,11.397815,11.357319,-40.495872
11.4553795,11.311468,11.300103,-11.364937
12.952063,12.779368,12.784234,4.8656464
12.203721,12.002245,12.043155,40.909767
13.815534,13.614057,13.636429,22.372246
13.182322,12.9808445,13.011804,30.95913
14.621439,14.39118,14.428786,37.60624
15.081957,14.880481,14.880268,-0.21266937
15.197086,14.99561,14.993002,-2.6082993
15.312216,15.081957,15.105676,23.718834
16.521074,16.290815,16.285927,-4.8885345
16.751333,16.492292,16.51027,17.97676
18.132887,17.902628,17.855133,-47.49489
17.614805,17.384546,17.35086,-33.685684
18.248016,17.988976,17.967224,-21.751404
18.88123,18.593405,18.58422,-9.183884
19.802265,19.485659,19.484125,-1.5335083
19.917395,19.600788,19.596897,-3.8909912
21.126253,20.809647,20.786146,-23.500443
21.011124,20.694517,20.672438,-22.079468
21.644335,21.298946,21.299124,0.17738342
21.93216,21.586771,21.585054,-1.7166138
22.968325,22.594152,22.620115,25.96283
22.450241,22.07607,22.10147,25.400162
23.774231,23.400059,23.431133,31.074524
23.831795,23.486406,23.489246,2.840042
25.213348,24.896742,24.890177,-6.565094
24.925524,24.580135,24.597456,17.320633
25.501171,25.184566,25.183252,-1.3141632
25.328478,25.011871,25.007368,-4.50325
26.882725,26.594902,26.59326,-1.6422272
26.537336,26.278296,26.240433,-37.862778
27.861326,27.602283,27.593105,-9.178162
27.573502,27.31446,27.299065,-15.396118
28.264278,27.976456,28.004612,28.15628
29.012619,28.78236,28.7682,-14.160156
29.760962,29.50192,29.530754,28.83339
30.048784,29.818525,29.82376,5.2337646
30.739561,30.59565,30.526415,-69.23485
30.279043,30.10635,30.058058,-48.29216
31.603033,31.401556,31.403965,2.4089813
31.545467,31.315208,31.345478,30.269623
32.6392,32.495285,32.4568,-38.48648
32.869457,32.696762,32.690845,-5.9165955
33.560234,33.41632,33.393345,-22.975922
33.848057,33.67536,33.686245,10.883331
34.48127,34.308575,34.331055,22.480011
34.538834,34.39492,34.389706,-5.214691
35.45987,35.315956,35.328556,12.599945
35.747692,35.60378,35.622055,18.276215
36.611164,36.496033,36.502274,6.2408447
36.150646,36.006733,36.032925,26.191711
37.992718,37.90637,37.906414,0.045776367
37.474632,37.388287,37.380844,-7.4424744
38.395668,38.309322,38.313988,4.6653748
38.28054,38.222977,38.197666,-25.310516
40.00748,39.921135,39.928585,7.4501038
39.144012,39.086445,39.067238,-19.207
