F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
3.2812,3.1948,3.246311,51.511047
3.6266,3.5114,3.579317,67.91711
4.4325,4.3749,4.361295,-13.604641
4.9506,4.8067,4.86651,59.809685
5.814,5.6989,5.715939,17.038822
5.7565,5.6126,5.659265,46.66519
6.9653,6.8214,6.850675,29.27494
6.1019,6.0155,5.999697,-15.80286
7.4834,7.3683,7.3613214,-6.978512
8.0015,7.8864,7.871968,-14.43243
8.1166,8.0015,7.985411,-16.088963
8.6347,8.4908,8.496058,5.25856
9.5557,9.383,9.40381,20.809174
9.0952,8.9801,8.949934,-30.165672
10.247,10.103,10.085163,-17.83657
10.304,10.189,10.141342,-47.657967
11.513,11.398,11.33295,-65.050125
11.455,11.311,11.275785,-35.214424
12.952,12.779,12.751247,-27.752876
12.204,12.002,12.014009,12.009621
13.816,13.614,13.602819,-11.180878
13.182,12.981,12.9779415,-3.0584335
14.621,14.391,14.396236,5.2366257
15.082,14.88,14.850605,-29.395103
15.197,14.996,14.963951,-32.04918
15.312,15.082,15.077297,-4.702568
16.521,16.291,16.268904,-22.096634
16.751,16.492,16.495594,3.5934448
18.133,17.903,17.857712,-45.288086
17.615,17.385,17.347164,-37.836075
18.248,17.989,17.971056,-17.944336
18.881,18.593,18.59495,1.9493103
19.802,19.486,19.5027,16.700745
19.917,19.601,19.616045,15.045166
21.126,20.81,20.807652,-2.3479462
21.011,20.695,20.69431,-0.6904602
21.644,21.299,21.318201,19.201279
21.932,21.587,21.602057,15.05661
22.968,22.594,22.623152,29.151917
22.45,22.076,22.112606,36.605835
23.774,23.4,23.430487,30.48706
23.832,23.486,23.48952,3.5190582
25.213,24.897,24.895153,-1.8463135
24.926,24.58,24.603033,23.033142
25.501,25.185,25.18829,3.2901764
25.328,25.012,25.012201,0.20217896
26.883,26.595,26.594942,-0.05722046
26.537,26.278,26.242773,-35.22682
27.861,27.602,27.590387,-11.611938
27.574,27.314,27.298271,-15.727997
28.264,27.976,28.000576,24.576187
29.013,28.782,28.762938,-19.062042
29.761,29.502,29.524279,22.277832
30.049,29.819,29.817417,-1.5830994
30.74,30.596,30.520746,-75.25444
30.279,30.106,30.051523,-54.47769
31.603,31.402,31.39914,-2.861023
31.545,31.315,31.340105,25.104523
32.639,32.495,32.453617,-41.381836
32.869,32.697,32.68772,-9.277344
33.56,33.416,33.391052,-24.94812
33.848,33.675,33.684185,9.185791
34.481,34.309,34.328472,19.47403
34.539,34.395,34.387512,-7.4882507
35.46,35.316,35.32494,8.937836
35.748,35.604,35.618076,14.076233
36.611,36.496,36.49647,0.47302246
36.151,36.007,36.028267,21.266937
37.993,37.906,37.903122,-2.8762817
37.475,37.388,37.37588,-12.119293
38.396,38.309,38.31331,4.310608
38.281,38.223,38.19626,-26.741028
40.007,39.921,39.95305,32.04727
39.144,39.086,39.074657,-11.341095
