F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
202.13977,202.0,202.1681,168.10608
205.16464,205.0,205.17793,177.93274
214.00659,214.0,213.9876,-12.4053955
217.78769,218.0,217.75928,-240.72266
226.22243,226.0,226.17998,179.97742
227.03682,227.0,226.99342,-6.576538
229.82901,230.0,229.78279,-217.20886
237.74022,238.0,237.68883,-311.1725
243.90631,244.0,243.85278,-147.2168
249.14168,249.0,249.087,87.005615
250.13057,250.0,250.07571,75.71411
255.07509,255.0,255.01942,19.424438
259.84506,260.0,259.78857,-211.42578
264.2079,264.0,264.1505,150.5127
271.1302,271.0,271.07098,70.98389
272.2936,272.0,272.23404,234.0393
282.997,283.0,282.93323,-66.77246
284.1604,284.0,284.09607,96.069336
290.26834,290.0,290.20093,200.92773
298.00504,298.0,297.93332,-66.68091
300.2155,300.0,300.14255,142.5476
306.32343,306.0,306.247,247.00928
314.35098,314.0,314.27032,270.3247
319.12097,319.0,319.03818,38.17749
320.1099,320.0,320.0267,26.70288
320.9243,321.0,320.84076,-159.24072
333.02377,333.0,332.9372,-62.805176
335.23425,335.0,335.14752,147.52197
344.13437,344.0,344.04855,48.553467
348.96252,349.0,348.87833,-121.673584
350.06778,350.0,349.98407,-15.930176
356.1757,356.0,356.09546,95.458984
365.0758,365.0,365.00317,3.1738281
366.23923,366.0,366.1678,167.78564
376.94263,377.0,376.88464,-115.356445
378.04788,378.0,377.99152,-8.483887
382.99237,383.0,382.94373,-56.274414
385.95908,386.0,385.9154,-84.59473
390.9036,391.0,390.86874,-131.2561
395.90625,396.0,395.88092,-119.07959
403.9338,404.0,403.9247,-75.286865
405.27173,405.0,405.2654,265.41138
415.80063,416.0,415.81677,-183.22754
418.8255,419.0,418.8481,-151.88599
420.16342,420.0,420.1889,188.90381
421.85037,422.0,421.87946,-120.54443
433.01913,433.0,433.07135,71.3501
435.75317,436.0,435.81076,-189.2395
442.73364,443.0,442.80432,-195.67871
445.87488,446.0,445.95105,-48.950195
450.12134,450.0,450.20456,204.55933
457.6835,458.0,457.77795,-222.0459
465.01303,465.0,465.11667,116.6687
468.15424,468.0,468.26126,261.261
471.06277,471.0,471.17264,172.63794
475.71643,476.0,475.8303,-169.70825
482.81323,483.0,482.93176,-68.237305
483.86032,484.0,483.9794,-20.599365
494.7964,495.0,494.91934,-80.65796
496.83237,497.0,496.9557,-44.311523
503.75467,504.0,503.87845,-121.55151
506.72137,507.0,506.84506,-154.93774
512.7711,513.0,512.8941,-105.895996
513.99274,514.0,514.11554,115.53955
522.7183,523.0,522.8392,-160.82764
526.0922,526.0,526.2122,212.21924
529.93146,530.0,530.0504,50.41504
534.93414,535.0,535.05176,51.757812
543.89246,544.0,544.0082,8.178711
548.9533,549.0,549.06836,68.359375
551.7455,552.0,551.86035,-139.64844
553.0252,553.0,553.14,140.01465
560.9946,561.0,561.11005,110.04639
568.9058,569.0,569.02344,23.4375
571.0,571.0,571.1185,118.53027
573.734,574.0,573.85394,-146.05713
582.8086,583.0,582.935,-65.00244
587.9858,588.0,588.1173,117.30957
589.61456,590.0,589.7479,-252.0752
592.5813,593.0,592.71826,-281.73828
601.8886,602.0,602.03925,39.245605
607.64746,608.0,607.8084,-191.58936
609.74164,610.0,609.9067,-93.322754
614.7443,615.0,614.92,-80.01709
621.6666,622.0,621.8588,-141.17432
625.8549,626.0,626.0581,58.10547
636.90735,637.0,637.14325,143.24951
638.5943,639.0,638.83563,-164.36768
640.63025,641.0,640.8783,-121.7041
642.84076,643.0,643.0963,96.31348
649.5304,650.0,649.80975,-190.24658
658.605,659.0,658.91943,-80.56641
659.65204,660.0,659.9707,-29.296875
661.6299,662.0,661.95667,-43.33496
674.54376,675.0,674.9267,-73.30322
677.74316,678.0,678.1408,140.8081
685.5962,686.0,686.0311,31.12793
686.64325,687.0,687.0833,83.31299
692.57666,693.0,693.04614,46.14258
698.6846,699.0,699.1852,185.18066
699.5571,700.0,700.06226,62.25586
702.3493,703.0,702.86896,-131.04248
711.4821,712.0,712.0504,50.41504
716.25214,717.0,716.8464,-153.62549
724.10516,725.0,724.74286,-257.1411
726.1411,727.0,726.7902,-209.77783
730.27124,731.0,730.94366,-56.33545
737.3681,738.0,738.081,80.99365
