F_test_GHz,F_true_GHz,F_pred_GHz,Residual(MHz)
100.34111,100.0,100.08338,83.38165
101.21367,101.0,100.95865,-41.35132
102.1444,102.0,101.89231,-107.6889
103.24964,103.0,103.00104,1.0375977
104.23854,104.0,103.993034,-6.965637
105.22745,105.0,104.985,-14.99939
106.100006,106.0,105.86021,-139.7934
107.26342,107.0,107.027054,27.053833
108.13598,108.0,107.90209,-97.90802
109.18305,109.0,108.95203,-47.973633
110.346466,110.0,110.11846,118.46161
111.335365,111.0,111.10978,109.77936
112.2661,112.0,112.04266,42.663574
113.19682,113.0,112.97541,-24.589539
114.18573,114.0,113.966324,-33.676147
115.232796,115.0,115.01536,15.357971
116.2217,116.0,116.00597,5.9661865
117.268776,117.0,117.054695,54.69513
118.257675,118.0,118.045006,45.0058
119.246574,119.0,119.03519,35.186768
120.06097,120.0,119.85053,-149.46747
121.22438,121.0,121.01516,15.159607
122.27145,122.0,122.06318,63.179016
123.14401,123.0,122.93644,-63.560486
124.24925,124.0,124.04245,42.44995
125.179985,125.0,124.97374,-26.260376
126.05254,126.0,125.84675,-153.25165
127.21596,127.0,127.010666,10.665894
128.20486,128.0,127.999916,-0.08392334
129.19376,129.0,128.98909,-10.910034
130.299,130.0,130.09459,94.58923
131.17155,131.0,130.9673,-32.699585
132.27681,132.0,132.07272,72.72339
133.14937,133.0,132.94537,-54.626465
134.25461,134.0,134.0507,50.704956
135.12717,135.0,134.92332,-76.675415
136.2324,136.0,136.02863,28.625488
137.16315,137.0,136.95941,-40.58838
138.09387,138.0,137.8902,-109.802246
139.14095,139.0,138.93733,-62.667847
140.12984,140.0,139.9263,-73.69995
141.23509,141.0,141.03166,31.661987
142.28217,142.0,142.07886,78.85742
143.15472,143.0,142.95154,-48.461914
144.25996,144.0,144.05698,56.97632
145.13252,145.0,144.92973,-70.26672
146.06325,146.0,145.86069,-139.31274
147.22667,147.0,147.02446,24.459839
148.21556,148.0,148.01369,13.687134
149.20447,149.0,149.00299,2.9907227
150.1352,150.0,149.93413,-65.87219
151.29861,151.0,151.09813,98.12927
152.28752,152.0,152.08759,87.58545
153.21825,153.0,153.01889,18.89038
154.14897,154.0,153.95024,-49.75891
155.25421,155.0,155.05627,56.274414
156.18495,156.0,155.98775,-12.252808
157.11568,157.0,156.91927,-80.73425
158.2791,158.0,158.08374,83.740234
159.26799,159.0,159.0736,73.59314
160.08238,160.0,159.88881,-111.190796
161.30397,161.0,161.11172,111.72485
162.2347,162.0,162.04352,43.518066
163.10725,163.0,162.91713,-82.87048
164.2125,164.0,164.02374,23.742676
165.25957,165.0,165.07219,72.18933
166.0158,166.0,165.82945,-170.54749
167.35371,167.0,167.16925,169.25049
168.1681,168.0,167.98485,-15.151978
169.15701,169.0,168.97523,-24.765015
170.20409,170.0,170.02394,23.94104
171.07664,171.0,170.89789,-102.11182
172.18188,172.0,172.00493,4.928589
173.17078,173.0,172.99547,-4.5318604
174.04335,174.0,173.86952,-130.4779
175.14859,175.0,174.97667,-23.330688
176.25383,176.0,176.08386,83.862305
177.18456,177.0,177.01624,16.235352
178.1153,178.0,177.94865,-51.345825
179.16237,179.0,178.99762,-2.380371
180.0931,180.0,179.93005,-69.94629
181.14017,181.0,180.97903,-20.965576
182.18724,182.0,182.02803,28.030396
183.17613,183.0,183.01874,18.737793
184.16504,184.0,184.00946,9.460449
185.21211,185.0,185.05844,58.441162
186.20102,186.0,186.04913,49.1333
187.18991,187.0,187.03978,39.779663
188.06247,188.0,187.91388,-86.120605
189.10954,189.0,188.96278,-37.216187
190.21478,190.0,190.0699,69.90051
191.02917,191.0,190.88565,-114.349365
192.13441,192.0,191.99269,-7.30896
193.18149,193.0,193.04143,41.427612
194.22856,194.0,194.0901,90.10315
195.1593,195.0,195.02222,22.216797
196.20636,196.0,196.07076,70.755005
197.19527,197.0,197.061,61.00464
198.24234,198.0,198.10942,109.42078
199.23125,199.0,199.09953,99.53308
200.16197,200.0,200.03133,31.326294
200.74368,200.5,200.61366,113.66272
201.0927,201.0,200.96304,-36.956787
202.0816,202.0,201.95293,-47.073364
203.12868,203.0,203.00096,0.9613037
204.17575,204.0,204.04887,48.8739
205.04831,205.0,204.92207,-77.926636
206.21172,206.0,206.08623,86.22742
207.14246,207.0,207.01746,17.456055
208.07318,208.0,207.9486,-51.40686
209.12025,209.0,208.99603,-3.9672852
209.99281,210.0,209.8688,-131.19507
211.09805,211.0,210.97421,-25.787354
212.08696,212.0,211.96315,-36.849976
213.01768,213.0,212.89383,-106.170654
213.89024,213.5,213.76625,266.2506
214.12292,214.0,213.99889,-1.1138916
215.05367,215.0,214.92937,-70.632935
216.1589,216.0,216.0342,34.194946
217.20598,217.0,217.08075,80.74951
218.19489,218.0,218.06906,69.06128
219.06744,219.0,218.94102,-58.97522
220.11452,220.0,219.98727,-12.72583
221.10341,221.0,220.97528,-24.719238
222.20865,222.0,222.07942,79.422
223.13939,223.0,223.00916,9.155273
224.18646,224.0,224.055,54.992676
225.17535,225.0,225.04262,42.617798
226.1061,226.0,225.97209,-27.908325
227.15317,227.0,227.01765,17.654419
227.79305,227.5,227.65657,156.57043
228.20023,228.0,228.06311,63.11035
229.0728,229.0,228.93428,-65.719604
230.06169,230.0,229.92152,-78.47595
231.10876,231.0,230.96675,-33.2489
232.15584,232.0,232.01192,11.917114
233.14474,233.0,232.99896,-1.0375977
234.30815,234.0,234.1601,160.09521
235.0062,235.0,234.85674,-143.26477
236.11145,236.0,235.95973,-40.267944
237.10034,237.0,236.94653,-53.466797
238.08925,238.0,237.93332,-66.68091
239.07816,239.0,238.92006,-79.940796
240.12521,240.0,239.9648,-35.202026
241.11412,241.0,240.95146,-48.538208
242.1612,242.0,241.99615,-3.8452148
243.20827,243.0,243.0408,40.802002
244.08083,244.0,243.91133,-88.66882
245.18607,245.0,245.01398,13.977051
246.2913,246.0,246.11662,116.622925
247.16386,247.0,246.98712,-12.878418
248.26912,248.0,248.08977,89.767456
249.14168,249.0,248.96027,-39.733887
250.18875,250.0,250.00487,4.8675537
251.23582,251.0,251.04947,49.468994
252.16655,252.0,251.97803,-21.972656
253.27179,253.0,253.08069,80.68848
254.14435,254.0,253.95125,-48.75183
255.19142,255.0,254.99593,-4.0740967
256.2385,256.0,256.04062,40.618896
257.2274,257.0,257.0273,27.313232
258.27448,258.0,258.07208,72.08252
259.26337,259.0,259.05884,58.83789
260.07776,260.0,259.8715,-128.50952
261.24118,261.0,261.03247,32.470703
262.11374,262.0,261.90323,-96.77124
263.27713,263.0,263.06427,64.27002
264.09152,264.0,263.87704,-122.95532
265.25494,265.0,265.0382,38.208008
266.3602,266.0,266.1414,141.38794
267.29092,267.0,267.0704,70.40405
268.10532,268.0,267.88333,-116.6687
269.26874,269.0,269.04474,44.73877
270.19946,270.0,269.9739,-26.09253
271.18835,271.0,270.96115,-38.848877
272.17725,272.0,271.9485,-51.51367
273.2825,273.0,273.05203,52.03247
274.21323,274.0,273.98138,-18.615723
275.2603,275.0,275.02698,26.97754
276.19104,276.0,275.95642,-43.5791
277.17993,277.0,276.944,-55.999756
278.16882,278.0,277.93164,-68.359375
279.27408,279.0,279.03552,35.52246
280.26297,280.0,280.02325,23.254395
281.2519,281.0,281.01108,11.077881
282.35712,282.0,282.1151,115.112305
282.82248,282.5,282.58,79.98657
283.05518,283.0,282.81244,-187.56104
284.2186,284.0,283.9747,-25.299072
285.382,285.0,285.137,136.99341
286.25455,286.0,286.00876,8.758545
287.1853,287.0,286.9387,-61.309814
288.29053,288.0,288.043,42.999268
289.33762,289.0,289.08923,89.2334
290.3265,290.0,290.07736,77.36206
291.25723,291.0,291.00742,7.4157715
292.30432,292.0,292.05374,53.741455
293.23505,293.0,292.9838,-16.204834
294.2821,294.0,294.03015,30.151367
295.21283,295.0,294.96024,-39.764404
296.37625,296.0,296.1229,122.89429
297.30698,297.0,297.053,53.009033
298.17953,298.0,297.925,-75.01221
299.22662,299.0,298.9714,-28.59497
300.2155,300.0,299.95963,-40.374756
301.32077,301.0,301.06415,64.14795
302.13516,301.5,301.878,377.99072
302.19333,302.0,301.93613,-63.87329
303.2404,303.0,302.98248,-17.51709
304.28748,304.0,304.0288,28.808594
305.16003,305.0,304.90076,-99.243164
306.32343,306.0,306.06326,63.26294
307.25418,307.0,306.99332,-6.6833496
308.30124,308.0,308.03952,39.520264
309.1738,309.0,308.91138,-88.62305
310.2209,310.0,309.95758,-42.419434
311.26794,311.0,311.0037,3.692627
311.966,312.0,311.7011,-298.88916
313.24576,313.0,312.97968,-20.324707
314.06015,313.5,313.79327,293.27393
314.29282,314.0,314.0257,25.6958
